월,날짜,시간,온도
1,11,400,-2.8
1,11,500,-2.7
1,11,600,-3.1
1,11,700,-4
1,11,800,-4.9
1,11,900,-6.1
1,11,1000,-7.8
1,11,1100,-8
1,11,1200,-7.4
1,11,1300,-6.9
1,11,1400,-7.3
1,11,1500,-9
1,11,1600,-8.8
1,11,1700,-8.2
1,11,1800,-8.4
1,11,1900,-8.1
1,11,2000,-8.2
1,11,2100,-9.3
1,11,2200,-10
1,11,2300,-7.4
1,12,0,-4
1,12,100,-0.8
1,12,200,0.7
1,12,300,1.7
1,12,400,1.8
1,12,500,0.2
1,12,600,0.9
1,12,700,-0.4
1,12,800,-1.1
1,12,900,-0.7
1,12,1000,-1.8
1,12,1100,-1.9
1,12,1200,-0.6
1,12,1300,-1.8
1,12,1400,-1.1
1,12,1500,-0.2
1,12,1600,-0.7
1,12,1700,-1.1
1,12,1800,-0.1
1,12,1900,0
1,12,2000,-0.4
1,12,2100,-0.8
1,12,2200,0.3
1,12,2300,2.6
1,13,0,4.2
1,13,100,5.6
1,13,200,6.9
1,13,300,8.6
1,13,400,9.2
1,13,500,9.5
1,13,600,8.8
1,13,700,8.6
1,13,800,7.7
1,13,900,7.2
1,13,1000,7
1,13,1100,5.3
1,13,1200,4.9
1,13,1300,1.7
1,13,1400,2.2
1,13,1500,0.8
1,13,1600,-0.7
1,13,1700,-2.6
1,13,1800,-3.3
1,13,1900,-3.9
1,13,2000,-5.1
1,13,2100,-5.6
1,13,2200,-5.8
1,13,2300,-3.2
1,14,0,0.5
1,14,100,6
1,14,200,7.6
1,14,300,8.5
1,14,400,8.9
1,14,500,10.5
1,14,600,9.3
1,14,700,4.6
1,14,800,1.5
1,14,900,0
1,14,1000,-0.5
1,14,1100,-1.5
1,14,1200,-1.7
1,14,1300,-2
1,14,1400,-2.2
1,14,1500,-1.6
1,14,1600,-2.1
1,14,1700,-2
1,14,1800,-1.6
1,14,1900,-1
1,14,2000,0
1,14,2100,1
1,14,2200,2.1
1,14,2300,8.9
1,15,0,9.9
1,15,100,10.3
1,15,200,10.9
1,15,300,11.3
1,15,400,11.9
1,15,500,10.6
1,15,600,9.8
1,15,700,6.8
1,15,800,5.9
1,15,900,3.9
1,15,1000,3
1,15,1100,2.4
1,15,1200,1.8
1,15,1300,1.5
1,15,1400,0.9
1,15,1500,0.6
1,15,1600,0
1,15,1700,-0.6
1,15,1800,-1.4
1,15,1900,-1.5
1,15,2000,-2.2
1,15,2100,-2.3
1,15,2200,-3
1,15,2300,-3.3
1,16,0,-3
1,16,100,-1.9
1,16,200,-1.2
1,16,300,-0.7
1,16,400,-0.5
1,16,500,-1.4
1,16,600,-2.7
1,16,700,-3.7
1,16,800,-4.1
1,16,900,-4.4
1,16,1000,-4.3
1,16,1100,-4.6
1,16,1200,-5.2
1,16,1300,-5.3
1,16,1400,-5.5
1,16,1500,-5.8
1,16,1600,-6.5
1,16,1700,-7.9
1,16,1800,-8.3
1,16,1900,-9.2
1,16,2000,-9.5
1,16,2100,-10.2
1,16,2200,-10.7
1,16,2300,-7.8
1,17,0,-4.3
1,17,100,-2.8
1,17,200,-1.7
1,17,300,-1.4
1,17,400,0.2
1,17,500,-0.2
1,17,600,-0.9
1,17,700,-1.2
1,17,800,-2.2
1,17,900,-3
1,17,1000,-3.7
1,17,1100,-2.7
1,17,1200,-2.5
1,17,1300,-2.2
1,17,1400,-2.4
1,17,1500,-2.1
1,17,1600,-2.8
1,17,1700,-4.1
1,17,1800,-4.7
1,17,1900,-3.7
1,17,2000,-3.3
1,17,2100,-2.4
1,17,2200,-1.9
1,17,2300,-1.8
1,18,0,-1.4
1,18,100,0.5
1,18,200,2
1,18,300,3.8
1,18,400,0.6
1,18,500,-0.7
1,18,600,-0.5
1,18,700,-1.6
1,18,800,-2.5
1,18,900,-3.5
1,18,1000,-4.2
1,18,1100,-4.5
1,18,1200,-4.8
1,18,1300,-5.2
1,18,1400,-6.9
1,18,1500,-8.3
1,18,1600,-10.3
1,18,1700,-10.7
1,18,1800,-13
1,18,1900,-13.7
1,18,2000,-14.4
1,18,2100,-14.7
1,18,2200,-15
1,18,2300,-10.9
1,19,0,-5.6
1,19,100,-4.6
1,19,200,-2.8
1,19,300,-2
1,19,400,-1.7
1,19,500,-1.5
1,19,600,-1.9
1,19,700,-3.7
1,19,800,-5.6
1,19,900,-7
1,19,1000,-8
1,19,1100,-8.9
1,19,1200,-9.4
1,19,1300,-10
1,19,1400,-10.5
1,19,1500,-10.8
1,19,1600,-11.3
1,19,1700,-11.5
1,19,1800,-11.3
1,19,1900,-11.6
1,19,2000,-11.8
1,19,2100,-12.3
1,19,2200,-11.5
1,19,2300,-8.3
1,20,0,-2.8
1,20,100,0.4
1,20,200,5.1
1,20,300,7
1,20,400,7.7
1,20,500,7.5
1,20,600,7.6
1,20,700,3.8
1,20,800,0.6
1,20,900,-1.2
1,20,1000,-1.7
1,20,1100,-2.4
1,20,1200,-3.1
1,20,1300,-3
1,20,1400,-1.9
1,20,1500,-1.1
1,20,1600,-1
1,20,1700,-0.3
1,20,1800,-0.5
1,20,1900,0.6
1,20,2000,0.3
1,20,2100,0.5
1,20,2200,0
1,20,2300,2.9
1,21,0,4.6
1,21,100,7.4
1,21,200,8.5
1,21,300,9.4
1,21,400,8.2
1,21,500,7.2
1,21,600,6.5
1,21,700,5.6
1,21,800,4.9
1,21,900,4.2
1,21,1000,4.4
1,21,1100,4.5
1,21,1200,4.1
1,21,1300,4.4
1,21,1400,4
1,21,1500,4
1,21,1600,3.9
1,21,1700,4.3
1,21,1800,4.1
1,21,1900,3.6
1,21,2000,3.8
1,21,2100,3.8
1,21,2200,3.7
1,21,2300,4.6
1,22,0,5.6
1,22,100,6.3
1,22,200,7.1
1,22,300,7.4
1,22,400,6.8
1,22,500,7.1
1,22,600,6.7
1,22,700,6.2
1,22,800,5.3
1,22,900,5.2
1,22,1000,4.9
1,22,1100,4.8
1,22,1200,3.9
1,22,1300,4.2
1,22,1400,4
1,22,1500,4.2
1,22,1600,4.5
1,22,1700,4.6
1,22,1800,4.3
1,22,1900,4.2
1,22,2000,3.8
1,22,2100,3.2
1,22,2200,3.6
1,22,2300,7.3
1,23,0,8.9
1,23,100,10.3
1,23,200,10.9
1,23,300,11.8
1,23,400,12.1
1,23,500,12.1
1,23,600,11.9
1,23,700,11.6
1,23,800,10.9
1,23,900,10.2
1,23,1000,9.8
1,23,1100,8.2
1,23,1200,8.2
1,23,1300,7.7
1,23,1400,6.8
1,23,1500,6
1,23,1600,4.6
1,23,1700,3
1,23,1800,2.1
1,23,1900,1.5
1,23,2000,1.2
1,23,2100,-0.1
1,23,2200,-0.7
1,23,2300,2
1,24,0,6.7
1,24,100,9.8
1,24,200,11.8
1,24,300,12
1,24,400,13
1,24,500,12.9
1,24,600,13.1
1,24,700,10.2
1,24,800,6.3
1,24,900,4.3
1,24,1000,2.4
1,24,1100,2.1
1,24,1200,1.3
1,24,1300,0.6
1,24,1400,0.8
1,24,1500,1.5
1,24,1600,0.1
1,24,1700,0.2
1,24,1800,0.3
1,24,1900,0.4
1,24,2000,0.6
1,24,2100,0.4
1,24,2200,1.6
1,24,2300,6.1
1,25,0,9.2
1,25,100,10.5
1,25,200,12
1,25,300,12.9
1,25,400,13.2
1,25,500,13.8
1,25,600,14
1,25,700,12.2
1,25,800,10.7
1,25,900,8.4
1,25,1000,4.5
1,25,1100,3.3
1,25,1200,2.2
1,25,1300,1.9
1,25,1400,1.5
1,25,1500,1.7
1,25,1600,1.4
1,25,1700,2.6
1,25,1800,2.5
1,25,1900,2.7
1,25,2000,2.7
1,25,2100,3.8
1,25,2200,3.5
1,25,2300,4.2
1,26,0,4.6
1,26,100,6
1,26,200,5.8
1,26,300,6.3
1,26,400,6.4
1,26,500,7.3
1,26,600,6.8
1,26,700,5
1,26,800,4.3
1,26,900,4
1,26,1000,4.3
1,26,1100,4
1,26,1200,3.6
1,26,1300,3.2
1,26,1400,2.1
1,26,1500,1.1
1,26,1600,0
1,26,1700,1.9
1,26,1800,1.2
1,26,1900,0.3
1,26,2000,-2
1,26,2100,-2.6
1,26,2200,-2.6
1,26,2300,-0.4
1,27,0,2.2
1,27,100,4
1,27,200,5.6
1,27,300,5.5
1,27,400,6.9
1,27,500,6
1,27,600,4.2
1,27,700,3.3
1,27,800,1.9
1,27,900,-0.7
1,27,1000,-1
1,27,1100,-2.1
1,27,1200,-2.4
1,27,1300,-2.7
1,27,1400,-2.2
1,27,1500,-2.7
1,27,1600,-2.7
1,27,1700,-2.8
1,27,1800,-2.7
1,27,1900,-2.8
1,27,2000,-2.9
1,27,2100,-2.5
1,27,2200,-3.3
1,27,2300,1.5
1,28,0,3.9
1,28,100,-0.5
1,28,200,0.8
1,28,300,0.7
1,28,400,0.2
1,28,500,-0.5
1,28,600,-1.6
1,28,700,-2.8
1,28,800,-4
1,28,900,-4.2
1,28,1000,-4.8
1,28,1100,-5.7
1,28,1200,-6.5
1,28,1300,-6.8
1,28,1400,-7.2
1,28,1500,-7.9
1,28,1600,-8
1,28,1700,-8.5
1,28,1800,-8.5
1,28,1900,-8.4
1,28,2000,-8.4
1,28,2100,-8.4
1,28,2200,-9.1
1,28,2300,-8.3
1,29,0,-6.9
1,29,100,-6.5
1,29,200,-6
1,29,300,-5.1
1,29,400,-4.5
1,29,500,-4.2
1,29,600,-4.3
1,29,700,-5.5
1,29,800,-6.4
1,29,900,-8.1
1,29,1000,-8.8
1,29,1100,-8.9
1,29,1200,-9.9
1,29,1300,-10.3
1,29,1400,-10.4
1,29,1500,-10.8
1,29,1600,-9.7
1,29,1700,-8.8
1,29,1800,-8.3
1,29,1900,-7.9
1,29,2000,-3.1
1,29,2100,-1.7
1,29,2200,-0.5
