날짜,시간,풍속(m/s)
14,1800,1.3
14,1900,2
14,2000,0.8
14,2100,1.7
14,2200,1.2
14,2300,1.6
15,0,1.4
15,100,1.6
15,200,1.3
15,300,2.1
15,400,2.2
15,500,3.2
15,600,1.8
15,700,2
15,800,1.9
15,900,1.9
15,1000,1.5
15,1100,2
15,1200,1.9
15,1300,1.2
15,1400,0.5
15,1500,0.7
15,1600,1.6
15,1700,2.2
15,1800,0.7
15,1900,0.5
15,2000,1.4
15,2100,1.1
15,2200,0.2
15,2300,0.8
16,0,0.9
16,100,1.2
16,200,2
16,300,2.2
16,400,2.4
16,500,1.4
16,600,2.5
16,700,3.1
16,800,0.7
16,900,2
16,1000,2.8
16,1100,3
16,1200,4.2
16,1300,4.2
16,1400,2.8
16,1500,5.4
16,1600,4.7
16,1700,4.5
16,1800,4.5
16,1900,5.7
16,2000,3
16,2100,4.1
16,2200,4.6
16,2300,5.4
17,0,5
17,100,6.1
17,200,6.8
17,300,8
17,400,5.9
17,500,6.3
17,600,5.6
17,700,5.9
17,800,4.2
17,900,3.8
17,1000,3.4
17,1100,3
17,1200,3
17,1300,2.6
17,1400,2.8
17,1500,3
17,1600,1
17,1700,1.7
17,1800,1.7
17,1900,1.8
17,2000,2.3
17,2100,1.4
17,2200,3
17,2300,2.4
18,0,1.4
18,100,2.5
18,200,1.4
18,300,2.2
18,400,2.6
18,500,2.3
18,600,1.6
18,700,2.2
18,800,1.6
18,900,2.8
18,1000,2.3
18,1100,2
18,1200,1.8
18,1300,1.3
18,1400,2.4
18,1500,4
18,1600,2
18,1700,2
18,1800,2.7
18,1900,2.2
18,2000,0.9
18,2100,1.3
18,2200,0.8
18,2300,1.2
19,0,1.5
19,100,0.9
19,200,2.7
19,300,3
19,400,2.5
19,500,2.8
19,600,3
19,700,2.2
19,800,0.3
19,900,1.9
19,1000,1.5
19,1100,2.3
19,1200,2.1
19,1300,2.1
19,1400,2.3
19,1500,1.5
19,1600,1.7
19,1700,1.5
19,1800,2.3
19,1900,1.6
19,2000,1.6
19,2100,2.2
19,2200,2
19,2300,1.7
20,0,1.3
20,100,1.7
20,200,3.2
20,300,4.8
20,400,5
20,500,4.2
20,600,3.2
20,700,2.2
20,800,2
20,900,1.7
20,1000,1.2
20,1100,1.3
20,1200,1.4
20,1300,0.6
20,1400,0.8
20,1500,0.4
20,1600,0.2
20,1700,0.1
20,1800,1
20,1900,0.8
20,2000,0.5
20,2100,1.1
20,2200,1.3
20,2300,1.1
21,0,1.7
21,100,2.2
21,200,3.5
21,300,4.1
21,400,3.3
21,500,2.8
21,600,3.1
21,700,2.6
21,800,2.8
21,900,2.5
21,1000,3
